id,active,owner,tentant,name,address1,city,state,zip,country,email,home_phone,work_phone,cell_phone,other_phone
100,1,1,0,Mrs. Bobbi Yang,2569 Webster Street,Freehold,NJ,7728,United States,BobbiPYang@einrot.com,,,732-577-5445,
101,1,1,0,Mr. Paul Underwood,63 Wayside Lane,Oakland,CA,94612,United States,PaulAUnderwood@superrito.com,,510-241-7788,,
102,1,1,0,Dr. Monica Haak,378 Albert Street,Kitchener,ON,N2L 3V2,Canada,MonicaJHaak@dayrep.com,,519-885-2477,,
103,1,0,1,Ms. Bonnie Hess,4116 90th Avenue,Brooks,AB,T0J 0J0,Canada,BonnieCHess@dayrep.com,403-633-3114,,,
104,1,1,0,Mr. Alexander Simpson,1731 Tolmie St,Richmond,BC,V6X 2W7,Canada,AlexanderJSimpson@jourrapide.com,604-288-4337,,,
105,1,1,0,Ms. Maria Goodwin,3525 Marcus Street,Huntsville,AL,35816,United States,MariaBGoodwin@rhyta.com,,,,256-627-1462
106,1,1,0,Ms. Laura Brazil,4673 Southern Avenue,Sharpsburg,IA,50862,United States,LauraSBrazil@teleworm.us,,641-349-3501,,
107,0,1,0,Mr. Anthony Dalton,3369 Lonely Oak Drive,Mobile,AL,36608,United States,AnthonyKDalton@einrot.com,,251-617-4451,,
108,1,1,0,Mrs. Kendra Sawyer,757 Timber Ridge Road,Roseville,CA,95678,United States,KendraDSawyer@teleworm.us,,,,916-789-0448
109,1,1,0,Mr. Karl Wu,3431 Marshville Road,Spring Valley,NY,10977,United States,KarlCWu@superrito.com,,,845-577-9306,
110,1,1,0,Mr. Michael Bynum,1124 Paris St,Sudbury,ON,P3E 4N2,Canada,MichaelCBynum@dayrep.com,705-561-9858,,,
111,1,1,0,Mrs. Amber Brousseau,2731 Hastings Street,Vancouver,BC,V6C 1B4,Canada,AmberPBrousseau@jourrapide.com,,604-724-5948,,
112,1,0,1,Mr. Fred Cotta,4067 Junkins Avenue,Albany,GA,31701,United States,FredCCotta@superrito.com,229-431-3320,,,
113,1,1,0,Mr. Daniel Dominguez,3242 Villa Drive,South Bend,IN,46625,United States,DanielVDominguez@gustr.com,,574-331-3946,,
114,1,1,0,Mrs. Jo Boddie,1081 Peaceful Lane,Cleveland,OH,44109,United States,JoWBoddie@teleworm.us,,,,216-485-6835
115,1,1,0,Ms. Lorraine Hallock,4823 Glen Falls Road,Philadelphia,PA,19104,United States,LorraineDHallock@rhyta.com,,215-823-2230,,
116,1,1,0,Mrs. Carol Patel,2265 Lock Street,Guelph,ON,N1H 2T2,Canada,CarolRPatel@einrot.com,,519-831-0469,,
117,0,1,0,Mr. Virgil Ruggles,2502 Wellington Street,Toronto,ON,M9C 3J5,Canada,VirgilTRuggles@gustr.com,905-214-5970,,,
118,1,1,0,Ms. Sheryl Burgos,1082 Long Street,Gainesville,FL,32653,United States,SherylTBurgos@superrito.com,352-215-1908,,,
119,1,1,0,Mr. Larry Brown,1584 Charter Street,Lancaster,KS,66041,United States,LarryMBrown@superrito.com,913-874-1218,,,
120,1,0,1,Mr. James Bohannon,4352 Grand Avenue,Winter Park,FL,32733,United States,JamesLBohannon@fleckens.hu,407-657-5205,,,
121,1,0,1,Ms. Angela Farren,4253 Richland Avenue,Sugar Land,TX,77487,United States,AngelaRFarren@fleckens.hu,,281-273-9750,,
122,1,0,1,Mr. Hong Pitts,1372 Driftwood Road,San Jose,CA,95129,United States,HongJPitts@jourrapide.com,,,408-376-5349,
